,symbol,product,ticker2,currency,instrument,region,exchange
302,GBPINR,British Pounds in Indian Rupee,GBPINR24607FUT,INR,FUT,IN,NSE
303,GBPINR,British Pounds in Indian Rupee,GBPINR24SEPFUT,INR,FUT,IN,NSE
304,GBPINR,British Pounds in Indian Rupee,GBPINR24JULFUT,INR,FUT,IN,NSE
305,GBPINR,British Pounds in Indian Rupee,GBPINR24OCTFUT,INR,FUT,IN,NSE
306,GDR,CNH Gold Futures,GDRQ4,CNH,FUT,HK,HKFE
307,GDR,CNH Gold Futures,GDRZ4,CNH,FUT,HK,HKFE
308,GDU,USD Gold Futures,GDUV4,USD,FUT,HK,HKFE
309,GDU,USD Gold Futures,GDUQ4,USD,FUT,HK,HKFE
310,GDU,USD Gold Futures,GDUZ4,USD,FUT,HK,HKFE
311,GOLD,Gold (Standard) - Japan,1690600A0,JPY,FUT,JP,OSE.JPN
312,GOLD,Gold (Standard) - Japan,1691200A0,JPY,FUT,JP,OSE.JPN
313,GOLD,Gold (Standard) - Japan,1691000A0,JPY,FUT,JP,OSE.JPN
314,GRANULES,GRANULES INDIA LTD,GRANULES24MAYFUT,INR,FUT,IN,NSE
315,GUJGASLTD,GUJARAT GAS LTD,GUJGASLTD24MAYFUT,INR,FUT,IN,NSE
316,GUJGASLTD,GUJARAT GAS LTD,GUJGASLTD24MARFUT,INR,FUT,IN,NSE
317,HB3,3 Month HIBOR Interest Rate,HB3M5,HKD,FUT,HK,HKFE
